account_id,report_date,age,employment_status,marital_status,dependents,region,internal_score,dpd,credit_utilization,macro_gdp_growth,macro_unemployment,macro_interest_rate,stage,default_flag
9449975,1/1/2019,36.0,Employed,Single,3,West,551.0,99,0.42,4.33,4.51,3.36,3,1
6228566,11/1/2019,66.0,Employed,Married,0,West,868.0,139,1.49,0.29,6.18,2.36,3,1
3844180,7/1/2021,57.0,Employed,,0,South,351.0,27,0.43,2.29,4.14,3.41,2,0
6931161,9/1/2018,21.0,Employed,Married,3,South,755.0,154,,2.5,6.88,3.23,3,1
2655016,9/1/2018,38.0,Employed,Married,2,West,802.0,119,0.73,3.31,4.32,2.9,3,1
8887739,7/1/2021,28.0,,Divorced,2,North,498.0,5,0.82,2.53,6.05,3.7,2,0
7189573,12/1/2021,37.0,Employed,Married,3,East,561.0,147,0.91,1.76,4.58,2.92,3,1
2034586,12/1/2022,58.0,,Married,0,South,860.0,90,1.28,2.75,3.61,2.86,3,1
6445315,1/1/2018,,Employed,Married,1,North,761.0,0,0.62,2.52,6.66,3.37,2,0
7529845,8/1/2018,45.0,,Single,4,South,822.0,98,0.36,2.01,2.34,3.18,3,1
9659522,10/1/2021,22.0,Self-Employed,Married,4,West,566.0,2,0.44,1.6,4.04,2.92,2,0
9767088,6/1/2020,52.0,Self-Employed,Married,4,South,761.0,51,1.45,1.66,1.97,2.1,2,0
3412149,1/1/2018,,Employed,Divorced,2,North,303.0,103,1.05,1.93,5.3,2.63,3,1
3155748,5/1/2020,41.0,Self-Employed,Married,2,South,884.0,129,1.44,1.2,6.01,3.3,3,1
7662314,10/1/2018,41.0,,Married,0,East,,93,1.02,2.55,6.13,2.71,3,1
8084364,4/1/2022,59.0,Employed,Divorced,4,South,602.0,0,0.14,2.12,3.96,3.61,2,0
1428988,7/1/2022,54.0,Unemployed,Single,3,West,871.0,1,,3.0,4.84,2.34,2,0
2897951,7/1/2020,39.0,Self-Employed,Single,4,North,662.0,17,1.46,4.1,5.41,2.82,2,0
5168962,8/1/2021,51.0,Employed,Single,1,East,487.0,137,1.01,1.01,4.17,2.52,3,1
9047252,4/1/2018,57.0,Self-Employed,Married,1,West,842.0,0,,5.81,2.17,3.25,2,0
3694287,9/1/2021,44.0,Retired,Married,4,West,545.0,21,0.52,2.65,4.83,3.45,2,0
5300915,10/1/2020,42.0,Retired,Married,3,South,674.0,2,,0.74,3.18,3.52,2,0
9948331,1/1/2021,60.0,Retired,Single,2,North,592.0,90,1.17,1.24,4.06,3.8,3,1
3526954,1/1/2021,,Unemployed,Married,0,North,876.0,23,1.36,1.99,5.52,3.17,2,0
2404962,10/1/2020,66.0,Employed,Married,2,West,716.0,55,1.14,0.82,5.78,3.72,2,0
8002587,6/1/2021,43.0,Self-Employed,Married,3,West,,130,0.79,3.13,6.31,2.28,3,1
3089319,1/1/2019,,Employed,Married,0,West,,144,0.34,1.77,6.84,2.68,3,1
2752683,5/1/2018,58.0,Self-Employed,Married,1,North,829.0,0,1.16,3.29,5.31,2.77,2,0
3795126,2/1/2019,42.0,Employed,Single,1,South,745.0,0,1.03,0.86,4.99,3.29,2,0
9315390,2/1/2020,,,Divorced,0,East,321.0,90,0.74,2.38,4.37,3.01,3,1
9589747,1/1/2019,62.0,Employed,Single,0,West,382.0,0,,1.99,4.59,2.67,2,0
5466271,4/1/2020,53.0,,Divorced,3,North,766.0,129,0.11,2.44,5.77,2.88,3,1
7292357,8/1/2022,25.0,,,1,East,755.0,5,1.26,2.95,3.0,2.21,2,0
2916796,1/1/2018,,,Single,0,South,385.0,119,0.89,2.26,4.29,3.22,3,1
4127748,4/1/2022,22.0,Self-Employed,,4,East,654.0,90,0.4,2.74,3.3,2.84,3,1
6919626,5/1/2018,36.0,,Married,2,North,699.0,150,1.34,-0.36,4.56,3.01,3,1
1973737,10/1/2021,30.0,Retired,Married,0,West,,136,0.8,1.49,6.03,3.68,3,1
1041743,9/1/2020,48.0,Unemployed,Single,2,East,779.0,51,0.07,1.72,7.89,3.08,2,0
9774821,2/1/2021,49.0,Employed,Married,3,North,501.0,14,1.39,2.72,4.89,1.82,2,0
3414802,8/1/2019,51.0,,Single,3,West,785.0,1,0.09,1.18,3.12,3.79,2,0
4599537,2/1/2018,36.0,Employed,Married,3,West,419.0,0,0.28,2.1,3.86,3.52,2,0
7434323,10/1/2019,21.0,Self-Employed,Married,2,West,517.0,143,0.41,2.59,5.76,2.31,3,1
4416664,5/1/2021,69.0,Employed,Single,0,West,562.0,90,1.18,-0.28,5.48,3.61,3,1
8807313,6/1/2020,,,Single,0,South,566.0,22,0.19,3.46,3.31,2.23,2,0
7356228,7/1/2019,47.0,Employed,Married,1,North,555.0,132,0.63,1.22,7.35,3.77,3,1
7252016,9/1/2019,58.0,Unemployed,Married,2,North,668.0,105,0.11,2.17,4.86,2.55,3,1
5706797,7/1/2022,67.0,Unemployed,Single,0,West,657.0,0,1.34,1.88,6.54,2.75,2,0
8609387,11/1/2020,46.0,Employed,Widowed,0,East,539.0,85,,2.39,5.48,3.11,2,0
5023278,11/1/2018,42.0,Employed,Divorced,2,East,811.0,0,0.69,1.46,5.04,2.82,2,0
6301358,6/1/2018,34.0,,Divorced,3,West,797.0,57,0.39,1.87,5.73,3.1,2,0
1906395,2/1/2022,67.0,Unemployed,Single,3,West,488.0,113,0.96,1.39,5.39,3.72,3,1
6097579,9/1/2018,40.0,Retired,Married,0,North,,115,0.54,1.71,8.77,2.89,3,1
2899054,9/1/2018,25.0,Employed,Single,2,West,661.0,8,0.32,2.84,4.8,2.27,2,0
7759291,6/1/2020,45.0,Retired,Married,1,South,,151,0.44,1.47,5.19,2.83,3,1
8744064,5/1/2018,25.0,Retired,Married,3,South,798.0,129,0.99,1.29,3.11,2.22,3,1
7210958,2/1/2021,38.0,Retired,Single,3,East,602.0,104,1.39,0.77,4.22,3.21,3,1
2524102,8/1/2022,60.0,Employed,Single,1,East,656.0,144,1.24,2.27,3.9,2.69,3,1
8734102,3/1/2018,22.0,Self-Employed,Married,1,North,848.0,5,,2.13,5.82,2.65,2,0
2906039,9/1/2018,67.0,Unemployed,Single,4,West,636.0,51,0.11,2.1,7.46,2.14,2,0
5666805,10/1/2018,55.0,Unemployed,Divorced,2,South,510.0,130,1.0,1.54,6.24,2.21,3,1
3892371,10/1/2019,24.0,Employed,Single,3,East,718.0,130,0.7,2.13,4.93,2.8,3,1
5228456,1/1/2021,60.0,Unemployed,Married,1,West,791.0,135,1.27,1.04,6.68,3.0,3,1
9741647,12/1/2019,33.0,Unemployed,Single,1,North,502.0,89,0.05,1.71,2.65,2.77,2,0
9899770,3/1/2022,56.0,Employed,Divorced,0,South,431.0,0,0.78,2.39,4.6,3.54,2,0
9242680,7/1/2022,41.0,Employed,,4,West,336.0,145,0.27,2.79,6.33,3.55,3,1
